Text,Text_Clean,Sentiment,Platform,Timestamp,User,Hashtags,Likes,Retweets,Country,Text_Length,Word_Count,Year,Month,Day,Hour,Date
"Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories.",curiosity driving the exploration of the unknown a seeker of knowledge in uncharted territories,Curiosity,Instagram,2022-05-08 08:45:00,SeekerOfUnknowns,#Curiosity #SeekerOfKnowledge,45.0,22.0,UK,97,14,2022,5,8,8,2022-05-08
"Drifting through the day with an air of nonchalance, indifferent to the trivialities of life.",drifting through the day with an air of nonchalance indifferent to the trivialities of life,Indifference,Facebook,2023-02-22 17:00:00,NonchalantWanderer,#Indifference #DriftingThroughLife,18.0,9.0,India,93,15,2023,2,22,17,2023-02-22
"Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity.",lost in the labyrinth of thoughts confusion casting shadows on the quest for clarity,Confusion,Twitter,2020-06-05 12:15:00,ShadowedSeeker,#Confusion #LabyrinthOfThoughts,28.0,14.0,Australia,86,14,2020,6,5,12,2020-06-05
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",wrapped in the cloak of emotional numbness a shield against the storms of lifes turbulence,Numbness,Instagram,2021-11-30 15:30:00,TurbulentShield,#Numbness #EmotionalStorms,20.0,10.0,Canada,93,15,2021,11,30,15,2021-11-30
"Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning.",melancholy as a companion painting the canvas of life with the brushstrokes of wistful yearning,Melancholy,Facebook,2019-02-25 21:00:00,WistfulPainter,#Melancholy #WistfulYearning,26.0,13.0,UK,97,15,2019,2,25,21,2019-02-25
"Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears.",leafing through the pages of an old photo album nostalgia weaving tales of laughter and tears,Nostalgia,Twitter,2017-05-18 14:45:00,TaleWeaver,#Nostalgia #PhotoAlbumStories,25.0,12.0,USA,95,16,2017,5,18,14,2017-05-18
"Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions.",ambivalence in the air caught between the crossroads of conflicting emotions and decisions,Ambivalence,Instagram,2022-08-05 11:30:00,CrossroadsExplorer,#Ambivalence #CrossroadsConfusion,30.0,15.0,Canada,92,13,2022,8,5,11,2022-08-05
"Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art.",embracing the beauty in imperfections finding acceptance in the mosaic of lifes unpredictable art,Acceptance,Facebook,2023-06-15 16:20:00,MosaicArtist,#Acceptance #UnpredictableArt,36.0,18.0,Australia,100,14,2023,6,15,16,2023-06-15
"Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities.",determination ablaze forging a path through challenges sculpting dreams into tangible realities,Determination,Twitter,2021-10-10 14:45:00,DreamSculptor,#Determination #SculptingDreams,40.0,20.0,UK,98,12,2021,10,10,14,2021-10-10
"Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul.",immerse in the serenity of a moonlit night where the quiet whispers of nature bring peace to the soul,Serenity,Instagram,2020-05-12 19:30:00,MoonlitSoul,#Serenity #MoonlitPeace,50.0,25.0,USA,103,19,2020,5,12,19,2020-05-12
"Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world.",fueled by curiosity venturing into uncharted realms a fearless explorer of the mysteries of the world,Curiosity,Facebook,2022-12-01 09:15:00,FearlessExplorer,#Curiosity #FearlessExplorer,44.0,22.0,India,104,16,2022,12,1,9,2022-12-01
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",wrapped in the cloak of emotional numbness a shield against the storms of lifes turbulence,Numbness,Instagram,2021-11-30 15:30:00,TurbulentShield,#Numbness #EmotionalStorms,20.0,10.0,Canada,93,15,2021,11,30,15,2021-11-30
"Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn.",dancing through life with the exuberance of a carefree spirit embracing joy and zest at every turn,Zest,Twitter,2018-07-12 17:45:00,JoyfulDancer,#Zest #CarefreeSpirit,30.0,15.0,USA,100,17,2018,7,12,17,2018-07-12
"Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart.",basking in the golden glow of contentment a serene river flowing through the landscape of the heart,Contentment,Facebook,2020-09-05 20:10:00,SereneBasker,#Contentment #GoldenGlow,36.0,18.0,Australia,101,17,2020,9,5,20,2020-09-05
"Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism.",gazing towards the horizon with hopeful eyes painting a canvas of dreams illuminated by the sun of optimism,Hopeful,Instagram,2022-04-18 08:00:00,DreamPainter,#Hopeful #CanvasOfDreams,24.0,12.0,India,109,18,2022,4,18,8,2022-04-18
"Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment.",standing tall proud as an oak the branches of achievement reaching towards the sky of accomplishment,Proud,Twitter,2019-12-10 12:20:00,OakAchiever,#Proud #BranchesOfAchievement,50.0,25.0,Canada,103,16,2019,12,10,12,2019-12-10
"A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection.",a heart overflowing with gratitude a garden where appreciation blooms in the soil of kindness and connection,Grateful,Facebook,2023-02-28 09:45:00,HeartGardener,#Grateful #BlossomingConnection,40.0,20.0,USA,110,17,2023,2,28,9,2023-02-28
"Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others.",extending a hand empathetic threads weaving a tapestry of understanding embracing the joys and sorrows of others,Empathetic,Instagram,2018-04-03 14:15:00,ThreadWeaver,#Empathetic #TapestryOfUnderstanding,30.0,15.0,UK,115,17,2018,4,3,14,2018-04-03
"Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering.",compassionate clouds heavy with care showering empathy on the parched grounds of human suffering,Compassionate,Twitter,2022-06-20 10:30:00,CloudCaretaker,#Compassionate #ShowerOfEmpathy,36.0,18.0,Australia,99,14,2022,6,20,10,2022-06-20
"Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness.",playfully dancing in the rain of laughter a whimsical spirit twirling in the puddles of joy and lightheartedness,Playful,Facebook,2020-07-08 18:00:00,RainDancer,#Playful #DanceInTheRain,44.0,22.0,Canada,114,18,2020,7,8,18,2020-07-08
"Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence.",soaring on the wings of a free spirit unburdened by the chains of conformity painting the sky with independence,Free-spirited,Instagram,2021-08-15 11:10:00,SkyPainter,#FreeSpirit #PaintingTheSky,40.0,20.0,India,114,19,2021,8,15,11,2021-08-15
"Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms.",bathed in the glow of inspiration a creative phoenix rising from the ashes of ordinary thoughts to explore new realms,Inspired,Twitter,2019-10-25 16:50:00,PhoenixExplorer,#Inspired #CreativePhoenix,30.0,15.0,UK,119,20,2019,10,25,16,2019-10-25
"Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation.",navigating the sea of hope sailing towards the sunrise of possibilities confident in the ship of positive anticipation,Hopeful,Facebook,2023-10-05 07:30:00,SunriseNavigator,#Hopeful #SunriseOfPossibilities,24.0,12.0,USA,121,18,2023,10,5,7,2023-10-05
"Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed.",striding with confidence footprints of selfassuredness imprinted on the sands of challenges conquered and victories claimed,Confident,Instagram,2022-02-15 13:15:00,SandStrider,#Confident #FootprintsOfAssuredness,50.0,25.0,Australia,126,16,2022,2,15,13,2022-02-15
"Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams.",lost in the symphony of the night a moonlit serenade that whispers tales of wanderlust and moonlit dreams,Serenity,Twitter,2021-05-08 22:00:00,NightSerenader,#Serenity #MoonlitSerenade,26.0,13.0,Canada,107,18,2021,5,8,22,2021-05-08
"Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge.",unveiling the layers of curiosity a labyrinth of questions leading to the treasure troves of undiscovered knowledge,Curiosity,Instagram,2020-11-29 14:45:00,KnowledgeSeeker,#Curiosity #LabyrinthOfQuestions,34.0,17.0,USA,117,17,2020,11,29,14,2020-11-29
"In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties.",in the embrace of the autumn breeze leaves of ambivalence dancing in a waltz between choices and uncertainties,Ambivalence,Facebook,2019-09-14 10:20:00,BreezeWaltzer,#Ambivalence #AutumnWaltz,28.0,14.0,UK,112,18,2019,9,14,10,2019-09-14
"Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments.",gratitude as a guiding star navigating the constellation of blessings in the vast universe of lifes precious moments,Grateful,Twitter,2022-03-12 19:55:00,StarNavigator,#Grateful #GuidingStar,38.0,19.0,Australia,119,18,2022,3,12,19,2022-03-12
"With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy.",with a zestful heart sprinting through fields of enthusiasm chasing sunbeams and laughter in the meadows of joy,Zest,Instagram,2023-03-30 16:30:00,MeadowSprinter,#Zest #FieldsOfEnthusiasm,32.0,16.0,India,114,18,2023,3,30,16,2023-03-30
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",a compassionate rain tears of empathy falling gently nurturing the seeds of kindness in the garden of human connections,Compassionate,Facebook,2021-07-01 12:10:00,RainNurturer,#Compassionate #TearsOfEmpathy,42.0,21.0,Canada,122,19,2021,7,1,12,2021-07-01
"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",proudly scaling the peaks of achievement a mountaineer conquering challenges and planting the flag of success,Proud,Twitter,2020-01-05 08:45:00,PeakConqueror,#Proud #ScalingPeaks,46.0,23.0,USA,111,16,2020,1,5,8,2020-01-05
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",embraced by the hopeful dawn a gardener sowing seeds of optimism tending to the blooms of a brighter tomorrow,Hopeful,Instagram,2022-07-17 06:15:00,DawnGardener,#Hopeful #SeedsOfOptimism,28.0,14.0,UK,112,19,2022,7,17,6,2022-07-17
"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",a playful escapade in the carnival of life carousel laughter and cotton candy dreams swirling in the joyous atmosphere,Playful,Facebook,2018-08-22 17:20:00,CarnivalDreamer,#Playful #CarnivalEscapade,48.0,24.0,Australia,120,19,2018,8,22,17,2018-08-22
"Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams.",floating on clouds of inspiration an artist painting the sky with strokes of creativity creating a masterpiece of dreams,Inspired,Twitter,2021-12-08 14:30:00,SkyArtist,#Inspired #CloudsOfCreativity,36.0,18.0,India,123,19,2021,12,8,14,2021-12-08
"Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance.",navigating the river of contentment a serene boat cruise through the tranquil waters of inner peace and acceptance,Contentment,Instagram,2019-04-27 09:50:00,RiverNavigator,#Contentment #TranquilWaters,40.0,20.0,Canada,116,18,2019,4,27,9,2019-04-27
"With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care.",with empathy as a lantern wandering through the dark alleys of sorrow illuminating the path with compassion and care,Empathetic,Facebook,2023-09-03 21:40:00,LanternWanderer,#Empathetic #LanternOfCompassion,32.0,16.0,USA,119,19,2023,9,3,21,2023-09-03
"A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",a free spirit soaring on the wings of dreams leaving trails of independence in the azure sky of boundless possibilities,Free-spirited,Twitter,2020-06-10 10:05:00,DreamSoarer,#FreeSpirit #WingsOfDreams,44.0,22.0,UK,121,20,2020,6,10,10,2020-06-10
"Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",bathed in the golden hues of gratefulness a sunset of appreciation casting its warm glow on the landscapes of the heart,Grateful,Instagram,2022-04-01 18:30:00,SunsetAdmirer,#Grateful #GoldenHues,38.0,19.0,Australia,121,21,2022,4,1,18,2022-04-01
"Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",confident strides in the dance of life a ballroom where selfassuredness leads twirling through challenges with grace,Confident,Facebook,2021-01-15 13:00:00,DanceStrider,#Confident #DanceOfLife,46.0,23.0,Canada,120,17,2021,1,15,13,2021-01-15
"Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities.",hopeful whispers of wind carrying the promises of a brighter tomorrow a symphony of optimism in the air of possibilities,Hopeful,Twitter,2023-05-06 07:20:00,WindWhisperer,#Hopeful #BrighterTomorrows,30.0,15.0,India,123,20,2023,5,6,7,2023-05-06
"Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air.",playfully juggling responsibilities a circus performer balancing the acts of work and joy tossing laughter into the air,Playful,Instagram,2019-11-18 15:15:00,JugglingArtist,#Playful #JugglingResponsibilities,50.0,25.0,USA,122,18,2019,11,18,15,2019-11-18
"Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination.",whispering tales of inspiration to the stars a storyteller crafting constellations from the threads of imagination,Inspired,Facebook,2020-08-29 20:45:00,StarStoryteller,#Inspired #TalesToTheStars,28.0,14.0,UK,116,16,2020,8,29,20,2020-08-29
"Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",charting a course through the waves of hopeful anticipation a sailor steering towards the shores of dreams yet unexplored,Hopeful,Twitter,2022-10-30 11:40:00,WaveNavigator,#Hopeful #SailorOfDreams,34.0,17.0,Australia,123,19,2022,10,30,11,2022-10-30
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",a compassionate rain tears of empathy falling gently nurturing the seeds of kindness in the garden of human connections,Compassionate,Instagram,2021-07-01 12:10:00,RainNurturer,#Compassionate #TearsOfEmpathy,42.0,21.0,Canada,122,19,2021,7,1,12,2021-07-01
"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",proudly scaling the peaks of achievement a mountaineer conquering challenges and planting the flag of success,Proud,Twitter,2020-01-05 08:45:00,PeakConqueror,#Proud #ScalingPeaks,46.0,23.0,USA,111,16,2020,1,5,8,2020-01-05
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",embraced by the hopeful dawn a gardener sowing seeds of optimism tending to the blooms of a brighter tomorrow,Hopeful,Instagram,2022-07-17 06:15:00,DawnGardener,#Hopeful #SeedsOfOptimism,28.0,14.0,UK,112,19,2022,7,17,6,2022-07-17
"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",a playful escapade in the carnival of life carousel laughter and cotton candy dreams swirling in the joyous atmosphere,Playful,Facebook,2018-08-22 17:20:00,CarnivalDreamer,#Playful #CarnivalEscapade,48.0,24.0,Australia,120,19,2018,8,22,17,2018-08-22
"Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams.",floating on clouds of inspiration an artist painting the sky with strokes of creativity creating a masterpiece of dreams,Inspired,Twitter,2021-12-08 14:30:00,SkyArtist,#Inspired #CloudsOfCreativity,36.0,18.0,India,123,19,2021,12,8,14,2021-12-08
"Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance.",navigating the river of contentment a serene boat cruise through the tranquil waters of inner peace and acceptance,Contentment,Instagram,2019-04-27 09:50:00,RiverNavigator,#Contentment #TranquilWaters,40.0,20.0,Canada,116,18,2019,4,27,9,2019-04-27
"With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care.",with empathy as a lantern wandering through the dark alleys of sorrow illuminating the path with compassion and care,Empathetic,Facebook,2023-09-03 21:40:00,LanternWanderer,#Empathetic #LanternOfCompassion,32.0,16.0,USA,119,19,2023,9,3,21,2023-09-03
"A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",a free spirit soaring on the wings of dreams leaving trails of independence in the azure sky of boundless possibilities,Free-spirited,Twitter,2020-06-10 10:05:00,DreamSoarer,#FreeSpirit #WingsOfDreams,44.0,22.0,UK,121,20,2020,6,10,10,2020-06-10
"Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",bathed in the golden hues of gratefulness a sunset of appreciation casting its warm glow on the landscapes of the heart,Grateful,Instagram,2022-04-01 18:30:00,SunsetAdmirer,#Grateful #GoldenHues,38.0,19.0,Australia,121,21,2022,4,1,18,2022-04-01
"Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",confident strides in the dance of life a ballroom where selfassuredness leads twirling through challenges with grace,Confident,Facebook,2021-01-15 13:00:00,DanceStrider,#Confident #DanceOfLife,46.0,23.0,Canada,120,17,2021,1,15,13,2021-01-15
"Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities.",hopeful whispers of wind carrying the promises of a brighter tomorrow a symphony of optimism in the air of possibilities,Hopeful,Twitter,2023-05-06 07:20:00,WindWhisperer,#Hopeful #BrighterTomorrows,30.0,15.0,India,123,20,2023,5,6,7,2023-05-06
"Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air.",playfully juggling responsibilities a circus performer balancing the acts of work and joy tossing laughter into the air,Playful,Instagram,2019-11-18 15:15:00,JugglingArtist,#Playful #JugglingResponsibilities,50.0,25.0,USA,122,18,2019,11,18,15,2019-11-18
"Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination.",whispering tales of inspiration to the stars a storyteller crafting constellations from the threads of imagination,Inspired,Facebook,2020-08-29 20:45:00,StarStoryteller,#Inspired #TalesToTheStars,28.0,14.0,UK,116,16,2020,8,29,20,2020-08-29
"Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",charting a course through the waves of hopeful anticipation a sailor steering towards the shores of dreams yet unexplored,Hopeful,Twitter,2022-10-30 11:40:00,WaveNavigator,#Hopeful #SailorOfDreams,34.0,17.0,Australia,123,19,2022,10,30,11,2022-10-30
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",a compassionate rain tears of empathy falling gently nurturing the seeds of kindness in the garden of human connections,Compassionate,Instagram,2021-07-01 12:10:00,RainNurturer,#Compassionate #TearsOfEmpathy,42.0,21.0,Canada,122,19,2021,7,1,12,2021-07-01
"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",proudly scaling the peaks of achievement a mountaineer conquering challenges and planting the flag of success,Proud,Twitter,2020-01-05 08:45:00,PeakConqueror,#Proud #ScalingPeaks,46.0,23.0,USA,111,16,2020,1,5,8,2020-01-05
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",embraced by the hopeful dawn a gardener sowing seeds of optimism tending to the blooms of a brighter tomorrow,Hopeful,Instagram,2022-07-17 06:15:00,DawnGardener,#Hopeful #SeedsOfOptimism,28.0,14.0,India,112,19,2022,7,17,6,2022-07-17
"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",a playful escapade in the carnival of life carousel laughter and cotton candy dreams swirling in the joyous atmosphere,Playful,Facebook,2018-08-22 17:20:00,CarnivalDreamer,#Playful #CarnivalEscapade,48.0,24.0,Australia,120,19,2018,8,22,17,2018-08-22
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness.",drowning in the abyss of despair a heart shattered into fragments lost in the echoing silence of hopelessness,Despair,Instagram,2021-09-15 16:00:00,ShatteredHeart,#Despair #EchoingSilence,16.0,8.0,Canada,112,18,2021,9,15,16,2021-09-15
"Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace.",bitterness festering like a venomous vine entwining the soul in a web of resentment poisoning the garden of peace,Bitterness,Facebook,2019-03-08 14:20:00,VenomousSoul,#Bitterness #ResentmentWeb,24.0,12.0,UK,116,19,2019,3,8,14,2019-03-08
"Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing.",wandering through the desert of loneliness each step a heavy sigh mirages of connection shimmering but never materializing,Loneliness,Twitter,2017-07-20 11:45:00,DesertWanderer,#Loneliness #MiragesOfConnection,30.0,15.0,USA,125,18,2017,7,20,11,2017-07-20
"Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude.",yearning for a touch thats not there echoes of a distant warmth haunting the heart in the cold embrace of solitude,Yearning,Instagram,2020-11-02 19:30:00,ColdEmbrace,#Yearning #DistantWarmth,20.0,10.0,Australia,117,21,2020,11,2,19,2020-11-02
"Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors.",eyes wide open in the night fearful shadows dancing on the walls the mind a prisoner of imagined horrors,Fearful,Facebook,2022-05-12 02:00:00,NightPrisoner,#Fearful #ImaginedHorrors,36.0,18.0,India,107,19,2022,5,12,2,2022-05-12
"Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion.",apprehensive steps on the tightrope of uncertainty a balancing act where the fall seems inevitable anxiety a constant companion,Apprehensive,Twitter,2023-04-08 13:15:00,TightropeWalker,#Apprehensive #BalancingAct,28.0,14.0,UK,130,19,2023,4,8,13,2023-04-08
"Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion.",overwhelmed by the weight of the world atlas with trembling shoulders each responsibility a boulder in the landscape of exhaustion,Overwhelmed,Instagram,2021-06-25 17:50:00,AtlasBearer,#Overwhelmed #BouldersOfExhaustion,44.0,22.0,Canada,133,20,2021,6,25,17,2021-06-25
"Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success.",jealousy a greeneyed monster lurking in the shadows casting a dark cloud over the sunshine of others success,Jealous,Facebook,2019-08-30 10:10:00,GreenMonster,#Jealous #GreenEyedMonster,32.0,16.0,USA,114,18,2019,8,30,10,2019-08-30
"Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises.",devastated by the storm of betrayal the wreckage of trust scattered like debris a heart torn by the winds of broken promises,Devastated,Twitter,2022-08-03 15:30:00,StormSurvivor,#Devastated #WindsOfBrokenPromises,50.0,25.0,Australia,127,22,2022,8,3,15,2022-08-03
"Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations.",frustrated fingers tapping on the keyboard a symphony of annoyance composing an unsolvable puzzle of unmet expectations,Frustrated,Instagram,2020-12-17 09:20:00,PuzzleComposer,#Frustrated #UnsolvablePuzzle,24.0,12.0,India,121,17,2020,12,17,9,2020-12-17
"Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach.",envious eyes fixated on the gilded prize a heartache fueled by the painful desire for possessions that seem forever out of reach,Envious,Facebook,2021-02-28 22:45:00,GildedHeartache,#Envious #GildedPrize,40.0,20.0,USA,130,22,2021,2,28,22,2021-02-28
"Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition.",dismissive glances a fortress built with indifference walls impenetrable to the pleas of understanding and recognition,Dismissive,Twitter,2018-05-10 14:00:00,IndifferentFort,#Dismissive #ImpenetrableWalls,28.0,14.0,UK,121,16,2018,5,10,14,2018-05-10
"Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration.",shattered dreams lie on the floor like fragments of glass a mosaic of disappointment crafted by the hands of frustration,Frustrated,Instagram,2022-01-07 11:10:00,DreamMosaic,#Frustrated #MosaicOfDisappointment,30.0,15.0,Canada,122,20,2022,1,7,11,2022-01-07
"Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne.",loneliness a silent companion in the night the only echo in the chamber of solitude a hearts solitary nocturne,Loneliness,Facebook,2019-09-19 03:30:00,NocturnalEcho,#Loneliness #SolitaryNocturne,36.0,18.0,Australia,115,19,2019,9,19,3,2019-09-19
"Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune.",fearful whispers in the dark the mind haunted by the specter of the unknown shadows dancing to the rhythm of anxietys tune,Fearful,Twitter,2023-07-14 23:00:00,DarkWhispers,#Fearful #SpecterOfTheUnknown,26.0,13.0,UK,126,22,2023,7,14,23,2023-07-14
"Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time.",bitterness a bitter aftertaste lingering on the tongue each word a reminder of wounds that refuse to heal with the passing of time,Bitterness,Instagram,2020-04-05 16:20:00,LingeringTaste,#Bitterness #BitterAftertaste,20.0,10.0,India,133,23,2020,4,5,16,2020-04-05
"Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat.",overwhelmed by the cacophony of expectations a drowning soul in the tempest of pressure struggling to stay afloat,Overwhelmed,Facebook,2021-11-29 08:45:00,TempestSurvivor,#Overwhelmed #DrowningSoul,40.0,20.0,USA,116,18,2021,11,29,8,2021-11-29
"Jealousy, a venom that seeps through the veins, poisoning the heart and turning it into a breeding ground for discontent.",jealousy a venom that seeps through the veins poisoning the heart and turning it into a breeding ground for discontent,Jealous,Twitter,2019-12-12 17:00:00,VenomousHeart,#Jealous #HeartOfDiscontent,32.0,16.0,Australia,121,20,2019,12,12,17,2019-12-12
"Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake.",devastated by the revelation of betrayal the trust shattered like fragile glass leaving shards of pain in its wake,Devastated,Instagram,2022-05-20 14:50:00,FragileTrust,#Devastated #ShatteredTrust,50.0,25.0,Canada,117,19,2022,5,20,14,2022-05-20
"Frustrated attempts to mend a broken connection, the threads of understanding slipping through the fingers like grains of sand.",frustrated attempts to mend a broken connection the threads of understanding slipping through the fingers like grains of sand,Frustrated,Facebook,2020-09-03 12:15:00,BrokenThreads,#Frustrated #SlippingThreads,28.0,14.0,UK,127,19,2020,9,3,12,2020-09-03
"Envious gazes cast upon the podium of success, a bitter pill swallowed, the taste lingering as a constant reminder of unattained heights.",envious gazes cast upon the podium of success a bitter pill swallowed the taste lingering as a constant reminder of unattained heights,Envious,Twitter,2021-02-10 19:30:00,SuccessPill,#Envious #BitterPill,40.0,20.0,USA,137,22,2021,2,10,19,2021-02-10
"Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference.",dismissive gestures a curtain drawn to shield the vulnerability a stage where emotions take a backseat to the performance of indifference,Dismissive,Instagram,2018-08-18 14:40:00,CurtainShield,#Dismissive #IndifferencePerformance,24.0,12.0,Australia,140,21,2018,8,18,14,2018-08-18
"Despair like a heavy fog, enveloping every thought, blurring the path ahead, a journey in the labyrinth of utter hopelessness.",despair like a heavy fog enveloping every thought blurring the path ahead a journey in the labyrinth of utter hopelessness,Despair,Facebook,2022-02-28 21:00:00,FoggyLabyrinth,#Despair #LabyrinthOfHopelessness,16.0,8.0,Canada,126,20,2022,2,28,21,2022-02-28
"Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory.",bitterness a bitter chill in the air freezing moments into icicles of resentment that dangle precariously over the landscape of memory,Bitterness,Twitter,2019-10-15 10:30:00,IcyResentment,#Bitterness #IciclesOfResentment,30.0,15.0,UK,137,21,2019,10,15,10,2019-10-15
"Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces.",loneliness a solitary moon in a starless sky casting a cold glow on the landscape of isolation where echoes bounce in empty spaces,Loneliness,Instagram,2017-12-01 18:50:00,SolitaryMoon,#Loneliness #StarlessSky,36.0,18.0,USA,134,23,2017,12,1,18,2017-12-01
"Yearning for the warmth of a vanished sun, a heartache painted in the hues of a sunset that never graced the horizon.",yearning for the warmth of a vanished sun a heartache painted in the hues of a sunset that never graced the horizon,Yearning,Facebook,2020-04-18 16:15:00,VanishedSunset,#Yearning #HuesOfSunset,20.0,10.0,Australia,117,22,2020,4,18,16,2020-04-18
